code,name,slug,description,provider,category_id,denom,price_sell,price_buy,admin_fee,status,service_id,,
YI10S,600 SMS sesama Isat + 200 SMS operator lain,600-sms-sesama-isat-200-sms-operator-lain,,INDOSAT,11,0,13865,12865,0,1,1,,
YSMA60,60GB + Unlimited APK 30Hr,60gb-unlimited-apk-30hr,,SMARTFREN,10,0,123490,122490,0,1,1,,
YTDL6,6GB + UNLIMITED (01-17) 30Hr,6gb-unlimited-01-17-30hr,,TRI,8,5000,71307,70307,0,1,1,,
YSMA6,6GB + Unlimited APK 30Hr,6gb-unlimited-apk-30hr,,SMARTFREN,10,0,31840,30840,0,1,1,,
YSS5,75 SMS ke semua 1 hari,75-sms-ke-semua-1-hari,,TELKOMSEL,6,0,8190,7190,0,1,1,,
YIDN7,"7GB + 20GB Apps, Youtube + SMS Sesama 30hr",7gb-20gb-apps-youtube-sms-sesama-30hr,,INDOSAT,11,0,93775,92775,0,1,1,,
YXCF3,"9GB+1GB Lokal+5Mnt Tlp, 30Hr (FLEX L)",9gb1gb-lokal5mnt-tlp-30hr-flex-l,,XL,7,0,51975,50975,0,1,1,,
YAAG10,Aktivasi Axis AIGO 10GB 30HR,aktivasi-axis-aigo-10gb-30hr,,AXIS,9,0,67100,66100,0,1,1,,
YAAG12,Aktivasi Axis AIGO 12GB 30HR,aktivasi-axis-aigo-12gb-30hr,,AXIS,9,0,70500,69500,0,1,1,,
YAAG15,Aktivasi Axis AIGO 15GB 30HR,aktivasi-axis-aigo-15gb-30hr,,AXIS,9,0,80500,79500,0,1,1,,
YAAG1,Aktivasi Axis AIGO 1GB 30HR,aktivasi-axis-aigo-1gb-30hr,,AXIS,9,0,15300,14300,0,1,1,,
YAAGM1,Aktivasi Axis AIGO 1GB 5HR,aktivasi-axis-aigo-1gb-5hr,,AXIS,9,0,10750,9750,0,1,1,,
YAAG25,Aktivasi Axis AIGO 25GB 30HR,aktivasi-axis-aigo-25gb-30hr,,AXIS,9,0,89300,88300,0,1,1,,
YAAG2,Aktivasi Axis AIGO 2GB 30HR,aktivasi-axis-aigo-2gb-30hr,,AXIS,9,0,25050,24050,0,1,1,,
YAAGM2,Aktivasi Axis AIGO 2GB 7HR,aktivasi-axis-aigo-2gb-7hr,,AXIS,9,0,17948,16948,0,1,1,,
YAAGM3,Aktivasi Axis AIGO 3GB 15HR,aktivasi-axis-aigo-3gb-15hr,,AXIS,9,0,22210,21210,0,1,1,,
YAAG3,Aktivasi Axis AIGO 3GB 30HR,aktivasi-axis-aigo-3gb-30hr,,AXIS,9,0,31600,30600,0,0,1,,
YAAG50,Aktivasi Axis AIGO 50GB 30HR,aktivasi-axis-aigo-50gb-30hr,,AXIS,9,0,137700,136700,0,1,1,,
YAAGM5,Aktivasi Axis AIGO 5GB 15HR,aktivasi-axis-aigo-5gb-15hr,,AXIS,9,0,33610,32610,0,1,1,,
YAAG5,Aktivasi Axis AIGO 5GB 30HR,aktivasi-axis-aigo-5gb-30hr,,AXIS,9,0,44880,43880,0,1,1,,
YAAG8,Aktivasi Axis AIGO 8GB 30HR,aktivasi-axis-aigo-8gb-30hr,,AXIS,9,0,58110,57110,0,0,1,,
YAAO2,Aktivasi Axis OWSEM 1+1GB 30HR,aktivasi-axis-owsem-11gb-30hr,,AXIS,9,0,18975,17975,0,1,1,,
YAAO4,Aktivasi Axis OWSEM 1+3GB 30HR,aktivasi-axis-owsem-13gb-30hr,,AXIS,9,0,30450,29450,0,1,1,,
YAAO8,Aktivasi Axis OWSEM 2+6GB 30HR,aktivasi-axis-owsem-26gb-30hr,,AXIS,9,0,47100,46100,0,1,1,,
YAAO12,Aktivasi Axis OWSEM 3+9GB 30HR,aktivasi-axis-owsem-39gb-30hr,,AXIS,9,0,61845,60845,0,1,1,,
YAAS1,Aktivasi Axis SOSMED 1GB 30HR,aktivasi-axis-sosmed-1gb-30hr,,AXIS,9,0,5875,4875,0,1,1,,
YAAS2,Aktivasi Axis SOSMED 2GB 30HR,aktivasi-axis-sosmed-2gb-30hr,,AXIS,9,0,8875,7875,0,1,1,,
YAAY1,Aktivasi Axis YOUTUBE 1GB 30HR,aktivasi-axis-youtube-1gb-30hr,,AXIS,9,0,5875,4875,0,1,1,,
YAAY2,Aktivasi Axis YOUTUBE 2GB 30HR,aktivasi-axis-youtube-2gb-30hr,,AXIS,9,0,8875,7875,0,1,1,,
YIAFJ1,Aktivasi Freedom Jateng 1.5GB 5hr,aktivasi-freedom-jateng-1-5gb-5hr,,INDOSAT,11,0,7975,6975,0,1,1,,
YIAFJ2,Aktivasi Freedom Jateng 2.5GB 5hr,aktivasi-freedom-jateng-2-5gb-5hr,,INDOSAT,11,0,13900,12900,0,1,1,,
YIAFJ4,Aktivasi Freedom Jateng 4GB 5hr,aktivasi-freedom-jateng-4gb-5hr,,INDOSAT,11,0,18450,17450,0,1,1,,
YIAFJ55,Aktivasi Freedom Jateng 5.5GB 30hr,aktivasi-freedom-jateng-5-5gb-30hr,,INDOSAT,11,0,30900,29900,0,1,1,,
YIAFJ5,Aktivasi Freedom Jateng 5GB 3hr,aktivasi-freedom-jateng-5gb-3hr,,INDOSAT,11,0,17559,16559,0,1,1,,
YIAFJ7,Aktivasi Freedom Jateng 7GB 5hr,aktivasi-freedom-jateng-7gb-5hr,,INDOSAT,11,0,22612,21612,0,1,1,,
YIAFT55,Aktivasi Freedom Jatim 5.5GB 30hr,aktivasi-freedom-jatim-5-5gb-30hr,,INDOSAT,11,0,30900,29900,0,1,1,,
YIAFT1,Aktivasi Freedom Jatim-Bali-Nusra 1.5GB 5hr,aktivasi-freedom-jatim-bali-nusra-1-5gb-5hr,,INDOSAT,11,0,7975,6975,0,1,1,,
YIAFT2,Aktivasi Freedom Jatim-Bali-Nusra 2.5GB 5hr,aktivasi-freedom-jatim-bali-nusra-2-5gb-5hr,,INDOSAT,11,0,14000,13000,0,1,1,,
YIAFT4,Aktivasi Freedom Jatim-Bali-Nusra 4GB 5hr,aktivasi-freedom-jatim-bali-nusra-4gb-5hr,,INDOSAT,11,0,18500,17500,0,1,1,,
YIAFT5,Aktivasi Freedom Jatim-Bali-Nusra 5GB 3hr,aktivasi-freedom-jatim-bali-nusra-5gb-3hr,,INDOSAT,11,0,17559,16559,0,1,1,,
YIAFT7,Aktivasi Freedom Jatim-Bali-Nusra 7GB 5hr,aktivasi-freedom-jatim-bali-nusra-7gb-5hr,,INDOSAT,11,0,22612,21612,0,1,1,,
YIAU10,Aktivasi Indosat 10GB + Unlimited App 30hr,aktivasi-indosat-10gb-unlimited-app-30hr,,INDOSAT,11,0,103450,102450,0,1,1,,
YIAU1,Aktivasi Indosat 1GB + Unlimited App 30hr,aktivasi-indosat-1gb-unlimited-app-30hr,,INDOSAT,11,0,32339,31339,0,1,1,,
YIAU2,Aktivasi Indosat 2GB + Unlimited App 30hr,aktivasi-indosat-2gb-unlimited-app-30hr,,INDOSAT,11,0,52089,51089,0,1,1,,
YIAU7,Aktivasi Indosat 7GB + Unlimited App 30hr,aktivasi-indosat-7gb-unlimited-app-30hr,,INDOSAT,11,0,93189,92189,0,1,1,,
YIAF14,Aktivasi Indosat Freedom 14GB 30hr,aktivasi-indosat-freedom-14gb-30hr,,INDOSAT,11,0,59650,58650,0,0,1,,
YIAF16,Aktivasi Indosat Freedom 16GB 30hr,aktivasi-indosat-freedom-16gb-30hr,,INDOSAT,11,0,62950,61950,0,1,1,,
YIAF20,Aktivasi Indosat Freedom 20GB 30hr,aktivasi-indosat-freedom-20gb-30hr,,INDOSAT,11,0,85900,84900,0,1,1,,
YIAF25,Aktivasi Indosat Freedom 25GB 30hr,aktivasi-indosat-freedom-25gb-30hr,,INDOSAT,11,0,104950,103950,0,0,1,,
YIAF30,Aktivasi Indosat Freedom 30GB 30hr,aktivasi-indosat-freedom-30gb-30hr,,INDOSAT,11,0,99950,98950,0,1,1,,
YIAF4,Aktivasi Indosat Freedom 4GB 30hr,aktivasi-indosat-freedom-4gb-30hr,,INDOSAT,11,0,32950,31950,0,1,1,,
YIAF9,Aktivasi Indosat Freedom 9GB 30hr,aktivasi-indosat-freedom-9gb-30hr,,INDOSAT,11,0,41685,40685,0,1,1,,
YIAU99,Aktivasi Indosat Unlimited 30hr,aktivasi-indosat-unlimited-30hr,,INDOSAT,11,0,156445,155445,0,1,1,,
YIAY15,Aktivasi Indosat Yellow 1GB 15hr,aktivasi-indosat-yellow-1gb-15hr,,INDOSAT,11,0,16050,15050,0,1,1,,
YIAY7,Aktivasi Indosat Yellow 1GB 7hr,aktivasi-indosat-yellow-1gb-7hr,,INDOSAT,11,0,13500,12500,0,1,1,,
YTAB15,Aktivasi Tri Zero Blank 1.5GB 365hr,aktivasi-tri-zero-blank-1-5gb-365hr,,TRI,8,0,21250,20250,0,1,1,,
YTAB10,Aktivasi Tri Zero Blank 10GB 365hr,aktivasi-tri-zero-blank-10gb-365hr,,TRI,8,0,79250,78250,0,0,1,,
YTAB1,Aktivasi Tri Zero Blank 1GB 365hr,aktivasi-tri-zero-blank-1gb-365hr,,TRI,8,0,17650,16650,0,1,1,,
YTAB2,Aktivasi Tri Zero Blank 2GB 365hr,aktivasi-tri-zero-blank-2gb-365hr,,TRI,8,0,21700,20700,0,1,1,,
YTAB5,Aktivasi Tri Zero Blank 5GB 365hr,aktivasi-tri-zero-blank-5gb-365hr,,TRI,8,0,37750,36750,0,0,1,,
YTAB6,Aktivasi Tri Zero Blank 6GB 365hr,aktivasi-tri-zero-blank-6gb-365hr,,TRI,8,0,42650,41650,0,1,1,,
YAX100,AXIS 100K,axis-100k,,AXIS,9,100000,100650,99650,0,1,1,,
YAX10,AXIS 10K,axis-10k,,AXIS,9,10000,12895,11895,0,1,1,,
YAX150,AXIS 150K,axis-150k,,AXIS,9,150000,151295,150295,0,1,1,,
YAX15,AXIS 15K,axis-15k,,AXIS,9,15000,17100,16100,0,1,1,,
YAX200,AXIS 200K,axis-200k,,AXIS,9,200000,199700,198700,0,1,1,,
YAX25,AXIS 25K,axis-25k,,AXIS,9,25000,26999,25999,0,1,1,,
YAX300,AXIS 300K,axis-300k,,AXIS,9,500000,300550,299550,0,1,1,,
YAX30,AXIS 30K,axis-30k,,AXIS,9,30000,32149,31149,0,1,1,,
YAX500,AXIS 500K,axis-500k,,AXIS,9,0,500050,499050,0,1,1,,
YAX50,AXIS 50K,axis-50k,,AXIS,9,50000,51624,50624,0,1,1,,
YAX5,AXIS 5K,axis-5k,,AXIS,9,5000,7975,6975,0,1,1,,
YTBM3,BM 1.5GB 7Hr,bm-1-5gb-7hr,,TRI,8,0,16250,15250,0,1,1,,
YTBM1,BM 1GB 5hr,bm-1gb-5hr,,TRI,8,0,11750,10750,0,1,1,,
YAXD1,BRONET 1GB 30Hr,bronet-1gb-30hr,,AXIS,9,0,15975,14975,0,1,1,,
YAXD2,BRONET 2GB 30Hr,bronet-2gb-30hr,,AXIS,9,0,24975,23975,0,1,1,,
YAXD300,BRONET 300MB 7Hr,bronet-300mb-7hr,,AXIS,9,0,12050,11050,0,1,1,,
YAXD3,BRONET 3GB 30Hr,bronet-3gb-30hr,,AXIS,9,0,29975,28975,0,1,1,,
YAXD5,BRONET 5GB 30Hr,bronet-5gb-30hr,,AXIS,9,0,33745,32745,0,1,1,,
YAXD8,BRONET 8GB 30Hr,bronet-8gb-30hr,,AXIS,9,0,46875,45875,0,1,1,,
YSDB12,BULK 12GB + 2GB OMG 30hr,bulk-12gb-2gb-omg-30hr,,TELKOMSEL,6,0,103900,102900,0,1,1,,
YSDB12A,BULK 12GB + 2GB OMG 30hr [Alternatif],bulk-12gb-2gb-omg-30hr-[alternatif],,TELKOMSEL,6,0,117900,116900,0,1,1,,
YSDB12P,BULK 12GB + 2GB OMG 30hr [Promo],bulk-12gb-2gb-omg-30hr-[promo],,TELKOMSEL,6,0,105990,104990,0,1,1,,
YSDB25,BULK 25GB + 2GB OMG 30hr,bulk-25gb-2gb-omg-30hr,,TELKOMSEL,6,0,166900,165900,0,1,1,,
YSDB25A,BULK 25GB + 2GB OMG 30hr [Alternatif],bulk-25gb-2gb-omg-30hr-[alternatif],,TELKOMSEL,6,0,197900,196900,0,1,1,,
YSDB25P,BULK 25GB + 2GB OMG 30hr [Promo],bulk-25gb-2gb-omg-30hr-[promo],,TELKOMSEL,6,0,167950,166950,0,0,1,,
