name,icon,background,color,spending,defaults,organization
Cash Out,https://cdn.nusapay.co.id/icon/icon-cashout.png,https://media.um0phbmlhwn0qyay58pf.click/image//MFAIXNZqrSEnoCaTcYIeXsVBbGM9xA.png,#ffffff,1,1,0
Cash in ,,,#ffffff,0,1,0
Love,https://cdn.nusapay.co.id/icon/icon-love.png,https://media.um0phbmlhwn0qyay58pf.click/image//fgij3ySLUJs5W6uB9FOxFStaXNn0Ob.png,#ee585c,1,1,0
Meal,https://cdn.nusapay.co.id/icon/icon-meal.png,https://media.um0phbmlhwn0qyay58pf.click/image//yEIzsLcIr4AX9tNCIyVH5SVmRYjZMt.png,#ff601d,1,1,0
Thanks,https://media.um0phbmlhwn0qyay58pf.click/image//5iCVOZNqlIcXsHiRNG7kiuKGOt6qoX.png,https://media.um0phbmlhwn0qyay58pf.click/image//jgxGd8FCKhF1E1AHnixsjWayMX9Njp.png,#02b670,1,1,0
Tip,https://cdn.nusapay.co.id/icon/icon-tip.png,https://media.um0phbmlhwn0qyay58pf.click/image//SvUQVR2LWil1Qi3Qy1Svg3LsRI3WZd.png,#882a9d,1,1,0
